date,Price(USD$ / Ounce),BTC_USD$_x,Rolling_Corr_GOLD_BTC,VIX_value,BTC_USD$_y,Rolling_Corr_VIX_BTC
2014-12-01,1210.43,370.0,,14.29,370.0,
2014-12-02,1198.56,378.0,,12.85,378.0,
2014-12-03,1209.19,378.0,,12.47,378.0,
2014-12-04,1205.32,377.1,,12.38,377.1,
2014-12-08,1202.8,375.0,,14.21,375.0,
2014-12-10,1226.7,360.5,,18.53,360.5,
2014-12-12,1222.21,350.0,,21.08,350.0,
2014-12-18,1197.65,340.0,,16.81,340.0,
2015-01-08,1208.63,288.99,,17.01,288.99,
2015-01-13,1230.36,260.0,,20.56,260.0,
2015-01-14,1229.55,120.0,,21.48,120.0,
2015-01-15,1261.16,204.22,,22.39,204.22,
2015-01-16,1279.81,199.46,,20.95,199.46,
2015-01-20,1293.56,218.0,,19.89,218.0,
2015-01-21,1293.06,225.51,,18.85,225.51,
2015-01-22,1301.23,226.32,,16.4,226.32,
2015-01-23,1294.15,235.0,,16.66,235.0,
2015-01-26,1280.86,274.48,,15.52,274.48,
2015-01-27,1292.08,263.65,,17.22,263.65,
2015-01-28,1284.35,236.09,,20.44,236.09,
2015-01-29,1256.5,235.03,,18.76,235.03,
2015-01-30,1282.8,229.07,,20.97,229.07,
2015-02-02,1274.69,237.83,,19.43,237.83,
2015-02-03,1259.71,228.58,,17.33,228.58,
2015-02-04,1269.65,227.11,,18.33,227.11,
2015-02-05,1264.4,216.76,,16.85,216.76,
2015-02-06,1233.22,223.2,,17.29,223.2,
2015-02-09,1238.93,221.1,,18.55,221.1,
2015-02-10,1233.8,220.87,,17.23,220.87,
2015-02-11,1218.66,219.81,,16.96,219.81,
2015-02-12,1222.2,223.21,,15.34,223.21,
2015-02-13,1229.2,236.49,,14.69,236.49,
2015-02-17,1209.0,244.82,,15.8,244.82,
2015-02-18,1212.61,237.49,,15.45,237.49,
2015-02-19,1207.05,240.9,,15.29,240.9,
2015-02-20,1201.91,245.34,,14.3,245.34,
2015-02-23,1201.42,239.49,,14.56,239.49,
2015-02-24,1199.51,239.87,,13.69,239.87,
2015-02-25,1204.4,238.19,,13.84,238.19,
2015-02-26,1208.3,237.11,,13.91,237.11,
2015-02-27,1212.55,254.42,,13.34,254.42,
2015-03-02,1206.7,276.7,,13.04,276.7,
2015-03-03,1203.31,283.27,,13.86,283.27,
2015-03-04,1199.45,273.37,,14.23,273.37,
2015-03-05,1198.2,276.86,,14.04,276.86,
2015-03-06,1166.72,273.23,,15.2,273.23,
2015-03-09,1166.55,290.19,,15.06,290.19,
2015-03-10,1161.18,293.47,,16.69,293.47,
2015-03-11,1154.05,296.99,,16.87,296.99,
